Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 31.00      0.38     0.38 106030000     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
 26.46      0.70     0.32      900     0.36     1.01  laplacian(std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >)
 18.19      0.92     0.22 106032100     0.00     0.00  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::operator[](unsigned long)
  4.96      0.98     0.06      300     0.20     0.45  derivative_mu(std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >, double, double, double)
  3.31      1.02     0.04      900     0.04     0.18  expand_c(std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >)
  2.48      1.05     0.03     4800     0.01     0.01  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::size() const
  2.07      1.07     0.03     4501     0.01     0.02  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::~vector()
  1.65      1.09     0.02   938602     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator()
  1.65      1.11     0.02      300     0.07     4.03  ch_kernal(std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >&, double, double, double, double, double, double, int, int)
  0.83      1.12     0.01   963800     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::__normal_iterator(double const* const&)
  0.83      1.13     0.01   911003     0.00     0.00  std::allocator<double>::~allocator()
  0.83      1.14     0.01   903800     0.00     0.00  std::vector<double, std::allocator<double> >* std::__addressof<std::vector<double, std::allocator<double> > >(std::vector<double, std::allocator<double> >&)
  0.83      1.15     0.01   481900     0.00     0.00  double* std::__copy_move_a1<false, double const*, double*>(double const*, double const*, double*)
  0.83      1.16     0.01   454301     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_create_storage(unsigned long)
  0.83      1.17     0.01   454301     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::~_Vector_base()
  0.83      1.18     0.01   454301     0.00     0.00  std::vector<double, std::allocator<double> >::~vector()
  0.83      1.19     0.01   451900     0.00     0.00  std::allocator_traits<std::allocator<double> >::select_on_container_copy_construction(std::allocator<double> const&)
  0.83      1.20     0.01   210000     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<double, std::allocator<double> > const*, std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > >::operator++()
  0.41      1.21     0.01   454301     0.00     0.00  void std::_Destroy<double*>(double*, double*)
  0.41      1.21     0.01     2401     0.00     0.00  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::_S_max_size(std::allocator<std::vector<double, std::allocator<double> > > const&)
  0.00      1.21     0.00   963800     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::base() const
